Gene	BH1	BH2	BH3	BPH1	BPH2	BPH3	BPH4	BPH5	BPH6	HH1	HH2	HH3	HPH1	HPH2	HPH3	HPH4	HPH5	HPH6	SMH1	SMH2	SMH3	SMPH1	SMPH2	SMPH3	SMPH4	SMPH5	SMPH6
SDHAF2	23.54602603	17.38776531	26.7073337	20.56223477	24.66179355	24.27963814	23.38202344	21.14895232	30.75894096	19.78020536	18.48030009	15.19888927	21.40021153	34.81161416	29.44344822	28.9860501	31.85732569	31.8928855	21.47150017	20.79509509	24.01044817	16.22729777	24.01196179	26.65062249	22.90427178	15.59355901	17.34660935
LRRC10B	8.044892225	1.803710095	12.5808436	2.352287212	3.283860659	9.479971072	3.329834324	3.58456819	32.01233393	2.403670525	3.484352523	0.688622815	0.67025271	2.868225546	1.287873301	0.345758053	0.116267612	1.424912099	0.064382309	0	0	0	0.040767338	0	0.036126612	0.034422868	0
SYT7	30.96302422	26.51453839	53.63033901	26.52406615	42.09909365	57.08443012	63.30344374	35.63060781	65.54906471	0.350535285	0.352845825	0.295124064	0.478751936	0.942978262	2.842203146	0.749142448	0.813873284	1.508730457	0.676014248	0.227802294	0.733438127	0.078964953	1.059950775	1.278590584	0.072253223	0.481920146	0.666063464
DYNC2LI1	42.06889983	27.05565142	36.66417278	30.174167	28.53674913	27.00768737	26.93140728	32.44034212	40.17632597	13.77102905	17.06891679	20.06843632	29.8741208	16.46282882	21.62738957	21.26412025	22.2652477	13.2013915	4.377997037	17.73603572	14.82317058	13.58197186	13.90166209	13.50511304	9.06777952	9.982631598	3.533032288
PLEKHH2	24.7625707	19.0471786	27.03084111	10.3419524	10.83674017	17.01620707	8.781980634	12.36676026	19.20740036	86.73244478	79.83136792	98.27631315	66.64226947	56.06791581	57.95429853	32.84701503	51.56468592	60.18158158	13.64904959	7.973080278	6.446535121	3.474457917	2.812946288	4.195375354	1.228304796	2.547292201	2.866968824
THADA	8.515812746	13.99679033	8.914426324	15.53320693	13.13544264	9.173065533	20.63765449	30.39713825	26.96488657	2.654052871	16.01037931	3.098802667	10.48466739	10.37276088	7.638420955	12.90830064	10.6384865	11.23166007	0.54724963	3.254318481	0.270214047	3.000668201	6.35970465	5.553877849	3.829420833	4.26843558	3.446154445
ZFP36L2	9.18295015	8.838179463	11.1430329	14.84374344	12.01893001	10.60529138	7.537866711	13.04782821	8.265618496	12.31881144	9.394520093	8.361848466	11.87304801	10.01914403	20.25069742	9.969357193	7.615528586	12.15366202	5.118393594	3.156688926	4.825250839	5.132721923	9.335720288	7.43180777	3.684914387	6.505921972	7.819005883
LRRC4C	58.66884818	30.69914581	74.730211	51.26363855	45.80985619	74.54394519	63.6693596	50.61410285	137.7377246	0.050076469	0.176422913	0	0.335126355	0.117872283	0.444094242	0.230505369	0.465070448	0.335273435	0.096573464	0.032543185	0.077204013	0.039482476	0.122302013	0.359603602	0.144506447	0.103268603	0.086877843
GOLPH3	81.11605966	110.3509836	73.57996244	39.13719241	41.8692234	43.44418398	36.66476915	42.51297874	39.56656723	75.21485685	109.8673688	59.41831145	14.69768443	15.44126903	24.29195502	16.82689191	11.33609217	16.2607616	36.50476941	50.73482511	33.66094985	7.067363264	11.29255249	11.66713908	12.46368101	9.638402922	15.46425608
MTMR12	35.12282215	49.42165659	43.6016094	32.60756756	36.35233749	29.05372429	59.53451038	56.88709718	44.78339201	15.3233996	20.90611514	20.06843632	18.24044876	19.48821741	22.95967229	28.87079742	18.25401508	31.34806617	7.403965577	13.04981711	8.376635456	6.988398311	11.33331983	10.86801996	8.417500511	11.01531763	10.01991124
